ID	DOCULECT	DOCULECT_OLD	CONCEPT	LANGID	VALUE	FORM	COG	TOKENS	COGID	SEGMENTS	SONARS	PROSTRINGS	CLASSES	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID	ALIGNMENT
86	Ansus_PD	Ansus (P&D)	1sg	33	yau	yau	1sg-1	j a u	11	j a u	6 7 7	AXZ	JAY	33.J.C 33.A.V 33.Y.V	2.0 1.5 0.8	jau	0	23	- j a u -
87	Ansus_EG	Ansus (EG)	1sg		yau	yau	1sg-	j a u	10	j a u	6 7 7	AXZ	JAY	.J.C .A.V .Y.V	2.0 1.5 0.8	jau	0	23	- j a u -
88	Pom	Pom	1sg		yau	yau	1sg-	j a u	10	j a u	6 7 7	AXZ	JAY	.J.C .A.V .Y.V	2.0 1.5 0.8	jau	0	23	- j a u -
89	Serui_Laut	Serui-Laut (slump)	1sg	53	yau	yau	1sg-1	j a u	11	j a u	6 7 7	AXZ	JAY	53.J.C 53.A.V 53.Y.V	2.0 1.5 0.8	jau	0	23	- j a u -
90	Kurudu	KURUDU	1sg	69	aya	aya	1sg-	a j a	10	a j a	7 6 7	XBZ	AJA	69.A.V 69.J.C 69.A.V	1.5 1.75 0.8	aja	0	23	a j a - -
91	Biak	Biak	1sg	36	yai	yai	1sg-1	j a i	11	j a i	6 7 7	AXZ	JAI	36.J.C 36.A.V 36.I.V	2.0 1.5 0.8	jai	0	23	- j a i -
92	Biak_Betew	Biak Betew (Mutus)	1sg		aya	aya	1sg-	a j a	10	a j a	7 6 7	XBZ	AJA	.A.V .J.C .A.V	1.5 1.75 0.8	aja	0	23	a j a - -
93	Biak_Numfor	Biak Numfoor (Mandori)	1sg		aya	aya	1sg-	a j a	10	a j a	7 6 7	XBZ	AJA	.A.V .J.C .A.V	1.5 1.75 0.8	aja	0	23	a j a - -
94	Roswar	Roswar	1sg	70	aya	aya	1sg-	a j a	10	a j a	7 6 7	XBZ	AJA	70.A.V 70.J.C 70.A.V	1.5 1.75 0.8	aja	0	23	a j a - -
95	Roon	Roon	1sg		ya	ya	1sg-	j a	10	j a	6 7	AX	JA	.J.C .A.V	2.0 1.5	ja	0	23	- j a - -
96	Dusner	Dusner	1sg	39	ya	ya	1sg-1	j a	11	j a	6 7	AX	JA	39.J.C 39.A.V	2.0 1.5	ja	0	23	- j a - -
97	Arguni	Arguni	1sg	34	embie	embie	1sg-2	e m b i e	12	e m b i e	7 4 1 7 7	XMBYZ	EMPIE	34.E.V 34.M.c 34.P.C 34.I.V 34.E.V	1.5 1.1 1.75 1.3 0.8	embie	0	26	e m b i e
98	As	As (ABVD)	1sg	35	anɛ	anɛ	1sg-2	a n ɛ	12	a n ɛ	7 4 7	XBZ	ANE	35.A.V 35.N.C 35.E.V	1.5 1.75 0.8	anɛ	0	24	- a n ɛ
99	Biga	Biga (rem)	1sg	37	ini	ini	1sg-2	i n i	12	i n i	7 4 7	XBZ	INI	37.I.V 37.N.C 37.I.V	1.5 1.75 0.8	ini	0	24	- i n i
100	Buli	Buli	1sg	38	ya	ya	1sg-1	j a	11	j a	6 7	AX	JA	38.J.C 38.A.V	2.0 1.5	ja	0	23	- j a - -
101	Fiawat	Fiawat (fiawat)	1sg	40	ine	ine	1sg-2	i n e	12	i n e	7 4 7	XBZ	INE	40.I.V 40.N.C 40.E.V	1.5 1.75 0.8	ine	0	24	- i n e
102	Gane	Gane	1sg	41	yak	yak	1sg-1	j a k	11	j a k	6 7 1	AXN	JAK	41.J.C 41.A.V 41.K.c	2.0 1.5 0.8	jak	0	23	- j a - k
103	Gebe	Gebe	1sg	42	ane	ane	1sg-2	a n e	12	a n e	7 4 7	XBZ	ANE	42.A.V 42.N.C 42.E.V	1.5 1.75 0.8	ane	0	24	- a n e
104	Kawe	Kawe (rem)	1sg	44	yene	yene	1sg-2	j e n e	12	j e n e	6 7 4 7	AXBZ	JENE	44.J.C 44.E.V 44.N.C 44.E.V	2.0 1.5 1.75 0.8	jene	0	24	j e n e
105	Kowiai	Kowiai	1sg	45	laʔ	laʔ	1sg-1	l a ʔ	11	l a ʔ	5 7 1	AXN	LAH	45.L.C 45.A.V 45.H.c	2.0 1.5 0.8	laʔ	0	27	l a ʔ
106	Laganyan	Laganyan	1sg	46	yene	yene	1sg-2	j e n e	12	j e n e	6 7 4 7	AXBZ	JENE	46.J.C 46.E.V 46.N.C 46.E.V	2.0 1.5 1.75 0.8	jene	0	24	j e n e
107	Irarutu	Irarutu (Mats)	1sg	43	já	já	1sg-1	d͡ʒ á	11	d͡ʒ á	2 7	AX	CA	43.C.C 43.A.V	2.0 1.5	d͡ʒá	0	23	- d͡ʒ á - -
108	Ambel	Ambel (rem)	1sg	32	yene	yene	1sg-2	j e n e	12	j e n e	6 7 4 7	AXBZ	JENE	32.J.C 32.E.V 32.N.C 32.E.V	2.0 1.5 1.75 0.8	jene	0	24	j e n e
109	Matbat	Matbat	1sg	47	ya²¹ka	ya²¹ka	1sg-1	j ²¹/a k a	11	j a k a	6 7 1 7	AXBZ	JAKA	47.J.C 47.A.V 47.K.C 47.A.V	2.0 1.5 1.75 0.8	jaka	0	25	j ²¹/a k a
110	Maya_Misool	Ma'ya Misool	1sg	48	ene	ene	1sg-2	e n e	12	e n e	7 4 7	XBZ	ENE	48.E.V 48.N.C 48.E.V	1.5 1.75 0.8	ene	0	24	- e n e
111	Maya_Salawati	Ma'ya Salawati	1sg	49	ene	ene	1sg-2	e n e	12	e n e	7 4 7	XBZ	ENE	49.E.V 49.N.C 49.E.V	1.5 1.75 0.8	ene	0	24	- e n e
112	Sawai	Sawai (CAD)	1sg	51	ya	ya	1sg-1	j a	11	j a	6 7	AX	JA	51.J.C 51.A.V	2.0 1.5	ja	0	23	- j a - -
113	Sekar	Sekar (ABVD)	1sg	52	yai	yai	1sg-1	j a i	11	j a i	6 7 7	AXZ	JAI	52.J.C 52.A.V 52.I.V	2.0 1.5 0.8	jai	0	23	- j a i -
114	Taba	Taba	1sg	54	yak	yak	1sg-1	j a k	11	j a k	6 7 1	AXN	JAK	54.J.C 54.A.V 54.K.c	2.0 1.5 0.8	jak	0	23	- j a - k
115	Wauyai	Wauyai	1sg	58	yene	yene	1sg-2	j e n e	12	j e n e	6 7 4 7	AXBZ	JENE	58.J.C 58.E.V 58.N.C 58.E.V	2.0 1.5 1.75 0.8	jene	0	24	j e n e
116	Waropen	Waropen (held)	1sg	57	ra, ya	ra	1sg-1	r a	11	r a	5 7	AX	RA	57.R.C 57.A.V	2.0 1.5	ra	0	30	r a
117	Umar	Umar	1sg	55	e, ene	e	1sg-1	e	11	e	7	X	E	55.E.V	1.5	e	0	28	e
118	Umar	Umar	1sg	55	e, ene	ene	1sg-2	_ e n e	12	_ e n e	9 7 4 7	_XBZ	_ENE	55._._ 55.E.V 55.N.C 55.E.V	0.0 1.5 1.75 0.8	_ene	0	31	_ e n e
119	Yaur	Yaur	1sg	59	ìgwá, ne	ìgwá	1sg-1	ì gʷ á	11	ì gʷ á	7 1 7	XBZ	IKA	59.I.V 59.K.C 59.A.V	1.5 1.75 0.8	ìgʷá	0	25	- ì gʷ á
120	Yaur	Yaur	1sg	59	ìgwá, ne	ne	1sg-2	_ n e	12	_ n e	9 4 7	_AX	_NE	59._._ 59.N.C 59.E.V	0.0 2.0 1.5	_ne	0	32	_ n e
121	Yerisiam	Yerisiam	1sg	60	né	né	1sg-2	n é	12	n é	4 7	AX	NE	60.N.C 60.E.V	2.0 1.5	né	0	24	- - n é
122	Moor	Moor	1sg	50	ígwa	ígwa	1sg-1	í gʷ a	11	í gʷ a	7 1 7	XBZ	IKA	50.I.V 50.K.C 50.A.V	1.5 1.75 0.8	ígʷa	0	25	- í gʷ a
123	Warembori	Warembori	1sg	56	iwi	iwi	1sg-1	i w i	11	i w i	7 6 7	XBZ	IWI	56.I.V 56.W.C 56.I.V	1.5 1.75 0.8	iwi	0	29	i w i
124	Cebuano_outgroup	Cebuano	2pl		kamu	kamu	2pl-1	k a m u	14	k a m u	1 7 4 7	AXBZ	KAMY	.K.C .A.V .M.C .Y.V	2.0 1.5 1.75 0.8	kamu	0	33	k a m u - - - - -
127	Wamesa	WAD	2pl	30	mia	mia	2pl-1	m i a	14	m i a	4 7 7	AXZ	MIA	30.M.C 30.I.V 30.A.V	2.0 1.5 0.8	mia	0	33	- - m i - - - - a
128	Ambai	Ambai	2pl	31	mea	mea	2pl-1	m e a	14	m e a	4 7 7	AXZ	MEA	31.M.C 31.E.V 31.A.V	2.0 1.5 0.8	mea	0	33	- - m e - - - - a
129	Ansus_PD	Ansus (P&D)	2pl	33	mia	mia	2pl-1	m i a	14	m i a	4 7 7	AXZ	MIA	33.M.C 33.I.V 33.A.V	2.0 1.5 0.8	mia	0	33	- - m i - - - - a
