ID	DOCULECT	CONCEPT	LANGID	VALUE	FORM	COG	COGID	TOKENS
5658	Kawe (rem)	sleep	44	w-e'nef	w-e'nef	sleep-1	1943	w e 'n e f
5659	Kowiai	sleep	45	enan	enan	sleep-1	1943	e n a n
5660	Laganyan	sleep	46	w-enef	w-enef	sleep-1	1943	w e n e f
5661	Irarutu (Mats)	sleep	43	gínə	gínə	sleep-1	1943	g í n ə
5662	Ambel (rem)	sleep	32	l-ane	l-ane	sleep-1	1943	l a n e
5663	Matbat	sleep	47	n-e¹⁴n	n-e¹⁴n	sleep-1	1943	n e ¹⁴ n
5664	Ma'ya Misool	sleep	48	w-ene¹²f	w-ene¹²f	sleep-1	1943	w e n e ¹² f
5665	Ma'ya Salawati	sleep	49	w-ene³f	w-ene³f	sleep-1	1943	w e n e ³ f
5666	Sawai (CAD)	sleep	51	n-yɛnɛf	n-yɛnɛf	sleep-1	1943	n y ɛ n ɛ f
5667	Sekar (ABVD)	sleep	52	rua	rua	sleep-52	1946	r u a
5668	Taba	sleep	54	antoal	antoal	sleep-54	1947	a n t o a l
5669	Wauyai	sleep	58	w-enef	w-enef	sleep-1	1943	w e n e f
5670	Waropen (held)	sleep	57	enako	enako	sleep-1	1943	e n a k o
5671	Umar	sleep	55	ne	ne	sleep-1	1943	n e
5672	Yaur	sleep	59	vìnò'òójè	vìnò'òójè	sleep-59	1948	v ì n ò 'ò ó j è
5673	Yerisiam	sleep	60	éené	éené	sleep-1	1943	é e n é
5674	Moor	sleep	50	enâ	enâ	sleep-1	1943	e n â
5675	Warembori	sleep	56	nan-do	nan-do	sleep-1	1943	n a n d o
5676	PCEMP	small	67	dikiq, kedi	dikiq	small-	1949	d i k i q
5677	PMP	small	68	dikiq, kedi	dikiq	small-	1949	d i k i q
5678	WAD	small	30	katu	katu	small-1	1950	k a t u
5679	Ambai	small	31	katui, ketui	katui	small-1	1950	k a t u i
5680	Ansus (P&D)	small	33	meia	meia	small-33	1954	m e i a
5681	Ansus (EG)	small		meia	meia	small-	1949	m e i a
5682	Pom	small		haho	haho	small-	1949	h a h o
5683	KURUDU	small	69	pyokri	pyokri	small-	1949	p y o k r i
5684	Biak	small	36	kasun	kasun	small-1	1950	k a s u n
5685	Biak Betew (Mutus)	small		ibawa (=big not)	ibawa (=big not)	small-	1949	ibawa (=big not)
5686	Biak Numfoor (Mandori)	small		ibawa	ibawa	small-	1949	i b a w a
5687	Roswar	small	70	ribwava?	ribwava?	small-	1949	r i b w a v a ?
5688	Roon	small		moku	moku	small-	1949	m o k u
5689	Dusner	small	39	ki	ki	small-39	1957	k i
5690	Dusner (celd)	small		ki, ibuwabak	ki	small-	1949	k i
5691	Arguni	small	34	natu	natu	small-2	1951	n a t u
5692	As (ABVD)	small	35	gɛlɔm	gɛlɔm	small-35	1955	g ɛ l ɔ m
5693	Biga (rem)	small	37	kamiaran, kanyan	kamiaran	small-3	1952	k a m i a r a n
5694	Biga (rem)	small	37	kamiaran, kanyan	kanyan	small-4	1958	k a n y a n
5695	Buli	small	38	kòrikòri	kòrikòri	small-38	1956	k ò r i k ò r i
5696	Fiawat (fiawat)	small	40	we	we	small-5	1960	w e
5697	Gane	small	41	wai	wai	small-5	1960	w a i
5698	Gebe	small	42	kali	kali	small-42	1959	k a l i
5699	Kawe (rem)	small	44	ganan	ganan	small-4	1958	g a n a n
5700	Kowiai	small	45	net	net	small-2	1951	n e t
5701	Laganyan	small	46	ganan	ganan	small-4	1958	g a n a n
5702	Irarutu (Mats)	small	43	ntú	ntú	small-2	1951	n t ú
5703	Ambel (rem)	small	32	amiŋki	amiŋki	small-32	1953	a m i ŋ k i
5704	Matbat	small	47	wa³y	wa³y	small-5	1960	w a ³ y
5705	Ma'ya Misool	small	48	gana¹²n	gana¹²n	small-4	1958	g a n a ¹² n
5706	Ma'ya Salawati	small	49	gana¹²n	gana¹²n	small-4	1958	g a n a ¹² n
5707	Sawai (CAD)	small	51	n-ɛ-myaku	n-ɛ-myaku	small-51	1961	n ɛ m y a k u
5708	Sekar (ABVD)	small	52	girif	girif	small-52	1962	g i r i f
5709	Taba	small	54	kutu	kutu	small-1	1950	k u t u
5710	Wauyai	small	58	ganan	ganan	small-4	1958	g a n a n
5711	Waropen (held)	small	57	kumara	kumara	small-3	1952	k u m a r a
5712	Umar	small	55	kba	kba	small-55	1963	k b a
5713	Yaur	small	59	dúùgò	dúùgò	small-59	1965	d ú ù g ò
5714	Yerisiam	small	60	ákúuná	ákúuná	small-1	1950	á k ú u n á
5715	Moor	small	50	marà'u	marà'u	small-3	1952	m a r à 'u
5716	Warembori	small	56	make-o	make-o	small-56	1964	m a k e o
5717	PCEMP	smoke	67	qasu	qasu	smoke-3	1969	q a s u
5718	PMP	smoke	68	qasu	qasu	smoke-3	1969	q a s u
5719	WAD	smoke	30	wuyu	wuyu	smoke-30	1970	w u y u
5720	Ambai	smoke	31	riraun	riraun	smoke-2	1968	r i r a u n
5721	Ansus (P&D)	smoke	33	wio	wio	smoke-30	1970	w i o
5722	Pom	smoke		tiup	tiup	smoke-	1966	t i u p
5723	Serui-Laut (slump)	smoke	53	rirau	rirau	smoke-2	1968	r i r a u
5724	KURUDU	smoke	69	sume	sume	smoke-	1966	s u m e
5725	Biak	smoke	36	ās	ās	smoke-3	1969	ā s
5726	Biak Betew (Mutus)	smoke		ya-suem	ya-suem	smoke-	1966	y a s u e m
5727	Biak Numfoor (Mandori)	smoke		ya-kun	ya-kun	smoke-	1966	y a k u n
5728	Roswar	smoke	70	ya-sim	ya-sim	smoke-	1966	y a s i m
5729	Roon	smoke		for yow	for yow	smoke-	1966	for yow
5730	Arguni	smoke	34	evas	evas	smoke-3	1969	e v a s
5731	As (ABVD)	smoke	35	kapyas	kapyas	smoke-3	1969	k a p y a s
5732	Biga (rem)	smoke	37	kaplas	kaplas	smoke-3	1969	k a p l a s
5733	Buli	smoke	38	mamayás	mamayás	smoke-3	1969	m a m a y á s
5734	Fiawat (fiawat)	smoke	40	eplah	eplah	smoke-40	1971	e p l a h
5735	Gane	smoke	41	nyas	nyas	smoke-3	1969	n y a s
5736	Gebe	smoke	42	may|as	may|as	smoke-3	1969	m a y| a s
5737	Kawe (rem)	smoke	44	labi	labi	smoke-1	1967	l a b i
5738	Kowiai	smoke	45	laf buba	laf buba	smoke-45	1973	laf buba
5739	Laganyan	smoke	46	abli	abli	smoke-1	1967	a b l i
5740	Irarutu (Mats)	smoke	43	bóbə	bóbə	smoke-43	1972	b ó b ə
5741	Ambel (rem)	smoke	32	bi	bi	smoke-1	1967	b i
